Model,y_true,y_pred,prob_yes,correct,uncertainty_score,is_ambiguous,distance_to_0_5
Improved MLP,1,0,0.43224427,0,0.06775573,1,0.06775573
Improved MLP,0,0,0.43190926,1,0.06809074,1,0.06809074
Improved MLP,0,0,0.43178195,1,0.06821805,1,0.06821805
Improved MLP,0,0,0.43158126,1,0.06841874,1,0.06841874
Improved MLP,0,0,0.43147466,1,0.068525344,1,0.068525344
Improved MLP,0,0,0.43131194,1,0.068688065,1,0.068688065
Improved MLP,0,1,0.56942034,0,0.06942034,1,0.06942034
Improved MLP,0,0,0.42997637,1,0.070023626,1,0.070023626
Improved MLP,0,1,0.5703339,0,0.0703339,1,0.0703339
Improved MLP,0,0,0.42956135,1,0.07043865,1,0.07043865
Improved MLP,0,1,0.5706606,0,0.07066059,1,0.07066059
Improved MLP,0,1,0.5707547,0,0.07075471,1,0.07075471
Improved MLP,0,0,0.42897445,1,0.07102555,1,0.07102555
Improved MLP,1,1,0.5711158,1,0.07111579,1,0.07111579
Improved MLP,0,0,0.42841884,1,0.071581155,1,0.071581155
Improved MLP,0,0,0.42837304,1,0.07162696,1,0.07162696
Improved MLP,0,1,0.57170933,0,0.071709335,1,0.071709335
Improved MLP,0,0,0.4280284,1,0.071971595,1,0.071971595
Improved MLP,0,0,0.42788664,1,0.072113365,1,0.072113365
Improved MLP,1,1,0.572245,1,0.072245,1,0.072245
Improved MLP,0,1,0.5723576,0,0.072357595,1,0.072357595
Improved MLP,1,1,0.5724146,1,0.07241458,1,0.07241458
Improved MLP,0,0,0.42754194,1,0.07245806,1,0.07245806
Improved MLP,0,1,0.572527,0,0.07252699,1,0.07252699
Improved MLP,0,0,0.4273228,1,0.072677195,1,0.072677195
Improved MLP,0,0,0.4271135,1,0.0728865,1,0.0728865
Improved MLP,0,1,0.5729109,0,0.072910905,1,0.072910905
Improved MLP,0,1,0.5729316,0,0.07293159,1,0.07293159
Improved MLP,0,0,0.42659125,1,0.07340875,1,0.07340875
Improved MLP,0,0,0.42650607,1,0.07349393,1,0.07349393
Improved MLP,1,0,0.4247773,0,0.0752227,1,0.0752227
Improved MLP,0,1,0.5752438,0,0.07524377,1,0.07524377
Improved MLP,0,1,0.5752686,0,0.075268626,1,0.075268626
Improved MLP,0,1,0.5757412,0,0.07574117,1,0.07574117
Improved MLP,0,1,0.57598305,0,0.07598305,1,0.07598305
Improved MLP,0,0,0.4232517,1,0.07674831,1,0.07674831
Improved MLP,0,0,0.4229963,1,0.07700369,1,0.07700369
Improved MLP,0,1,0.57720643,0,0.07720643,1,0.07720643
Improved MLP,1,1,0.5776711,1,0.07767111,1,0.07767111
Improved MLP,0,1,0.578065,0,0.07806498,1,0.07806498
Improved MLP,0,0,0.42141798,1,0.07858202,1,0.07858202
Improved MLP,0,1,0.57888174,0,0.07888174,1,0.07888174
Improved MLP,0,0,0.42055154,1,0.07944846,1,0.07944846
Improved MLP,0,1,0.5795357,0,0.07953572,1,0.07953572
Improved MLP,1,1,0.5797869,1,0.0797869,1,0.0797869
Improved MLP,0,1,0.58008313,0,0.08008313,1,0.08008313
Improved MLP,0,1,0.58044547,0,0.08044547,1,0.08044547
Improved MLP,0,1,0.5806584,0,0.080658376,1,0.080658376
Improved MLP,0,0,0.41912034,1,0.08087966,1,0.08087966
Improved MLP,0,1,0.58107287,0,0.08107287,1,0.08107287
Improved MLP,0,1,0.58108234,0,0.081082344,1,0.081082344
Improved MLP,0,0,0.41813245,1,0.081867546,1,0.081867546
Improved MLP,0,1,0.58189017,0,0.081890166,1,0.081890166
Improved MLP,0,0,0.4174217,1,0.0825783,1,0.0825783
Improved MLP,0,1,0.5828442,0,0.0828442,1,0.0828442
Improved MLP,0,1,0.58286315,0,0.08286315,1,0.08286315
Improved MLP,0,0,0.4170219,1,0.0829781,1,0.0829781
Improved MLP,1,0,0.4167666,0,0.08323339,1,0.08323339
Improved MLP,0,1,0.5833671,0,0.08336711,1,0.08336711
Improved MLP,0,0,0.4165614,1,0.083438605,1,0.083438605
Improved MLP,0,0,0.41607374,1,0.08392626,1,0.08392626
Improved MLP,0,0,0.41593495,1,0.08406505,1,0.08406505
Improved MLP,0,0,0.4158589,1,0.084141105,1,0.084141105
Improved MLP,0,0,0.4157427,1,0.084257305,1,0.084257305
Improved MLP,0,0,0.41540182,1,0.08459818,1,0.08459818
Improved MLP,0,1,0.58470607,0,0.08470607,1,0.08470607
Improved MLP,0,0,0.4150514,1,0.0849486,1,0.0849486
Improved MLP,0,0,0.41490808,1,0.08509192,1,0.08509192
Improved MLP,0,0,0.41481465,1,0.08518535,1,0.08518535
Improved MLP,1,0,0.4143438,0,0.085656196,1,0.085656196
Improved MLP,0,0,0.41422147,1,0.085778534,1,0.085778534
Improved MLP,0,0,0.41412917,1,0.08587083,1,0.08587083
Improved MLP,0,1,0.5861267,0,0.086126685,1,0.086126685
Improved MLP,0,1,0.58645624,0,0.08645624,1,0.08645624
Improved MLP,0,0,0.4130922,1,0.086907804,1,0.086907804
Improved MLP,0,1,0.58719647,0,0.08719647,1,0.08719647
Improved MLP,0,1,0.58728814,0,0.08728814,1,0.08728814
Improved MLP,0,1,0.58729833,0,0.08729833,1,0.08729833
Improved MLP,0,1,0.58779025,0,0.08779025,1,0.08779025
Improved MLP,0,0,0.41204184,1,0.08795816,1,0.08795816
Improved MLP,0,1,0.5880529,0,0.08805293,1,0.08805293
Improved MLP,0,0,0.41167566,1,0.08832434,1,0.08832434
Improved MLP,0,0,0.41151583,1,0.08848417,1,0.08848417
Improved MLP,0,1,0.5886838,0,0.088683784,1,0.088683784
Improved MLP,0,0,0.41117942,1,0.08882058,1,0.08882058
Improved MLP,0,0,0.41104898,1,0.08895102,1,0.08895102
Improved MLP,0,0,0.41045567,1,0.089544326,1,0.089544326
Improved MLP,0,1,0.5897823,0,0.0897823,1,0.0897823
Improved MLP,0,0,0.41004977,1,0.08995023,1,0.08995023
Improved MLP,0,1,0.5899619,0,0.08996189,1,0.08996189
Improved MLP,0,0,0.40989596,1,0.09010404,1,0.09010404
Improved MLP,1,1,0.5903132,1,0.090313196,1,0.090313196
Improved MLP,1,0,0.4093919,0,0.09060809,1,0.09060809
Improved MLP,0,1,0.590623,0,0.09062302,1,0.09062302
Improved MLP,0,1,0.5907771,0,0.0907771,1,0.0907771
Improved MLP,0,1,0.590919,0,0.09091902,1,0.09091902
Improved MLP,0,0,0.40859365,1,0.091406345,1,0.091406345
Improved MLP,0,1,0.5917913,0,0.09179127,1,0.09179127
Improved MLP,0,1,0.59226304,0,0.09226304,1,0.09226304
Improved MLP,1,1,0.59267664,1,0.09267664,1,0.09267664
Improved MLP,0,0,0.40724832,1,0.09275168,1,0.09275168
Improved MLP,0,0,0.40711838,1,0.09288162,1,0.09288162
Improved MLP,0,1,0.59295404,0,0.09295404,1,0.09295404
Improved MLP,0,0,0.40669674,1,0.09330326,1,0.09330326
Improved MLP,0,1,0.59344923,0,0.093449235,1,0.093449235
Improved MLP,0,1,0.593721,0,0.09372097,1,0.09372097
Improved MLP,0,1,0.59399295,0,0.09399295,1,0.09399295
Improved MLP,1,1,0.5941446,1,0.09414458,1,0.09414458
Improved MLP,0,0,0.40584576,1,0.09415424,1,0.09415424
Improved MLP,0,1,0.59432524,0,0.094325244,1,0.094325244
Improved MLP,0,1,0.5945128,0,0.09451282,1,0.09451282
Improved MLP,0,0,0.40475228,1,0.095247716,1,0.095247716
Improved MLP,0,0,0.40436497,1,0.09563503,1,0.09563503
Improved MLP,1,0,0.40435004,0,0.09564996,1,0.09564996
Improved MLP,1,1,0.5957156,1,0.09571558,1,0.09571558
Improved MLP,0,0,0.4042169,1,0.095783114,1,0.095783114
Improved MLP,0,1,0.5960079,0,0.09600788,1,0.09600788
Improved MLP,0,0,0.40358818,1,0.096411824,1,0.096411824
Improved MLP,1,1,0.5967162,1,0.096716225,1,0.096716225
Improved MLP,0,1,0.5968471,0,0.09684712,1,0.09684712
Improved MLP,0,1,0.5968838,0,0.096883774,1,0.096883774
Improved MLP,0,0,0.4029305,1,0.0970695,1,0.0970695
Improved MLP,0,0,0.4021917,1,0.0978083,1,0.0978083
Improved MLP,0,1,0.5978356,0,0.0978356,1,0.0978356
Improved MLP,0,1,0.5978513,0,0.09785128,1,0.09785128
Improved MLP,1,0,0.4020024,0,0.097997606,1,0.097997606
Improved MLP,1,1,0.5980004,1,0.09800041,1,0.09800041
Improved MLP,0,1,0.598187,0,0.09818703,1,0.09818703
Improved MLP,1,0,0.4017303,0,0.0982697,1,0.0982697
Improved MLP,1,1,0.59834325,1,0.09834325,1,0.09834325
Improved MLP,0,0,0.4010425,1,0.09895751,1,0.09895751
Improved MLP,1,1,0.5989882,1,0.098988175,1,0.098988175
Improved MLP,0,1,0.5990415,0,0.09904152,1,0.09904152
Improved MLP,0,1,0.5990722,0,0.09907222,1,0.09907222
Improved MLP,1,1,0.59919405,1,0.09919405,1,0.09919405
Improved MLP,0,1,0.59946364,0,0.09946364,1,0.09946364
Improved MLP,0,1,0.6003539,0,0.1003539,0,0.1003539
Improved MLP,0,0,0.39946398,1,0.10053602,0,0.10053602
Improved MLP,0,0,0.39875266,1,0.10124734,0,0.10124734
Improved MLP,0,1,0.60134137,0,0.10134137,0,0.10134137
Improved MLP,0,0,0.39860776,1,0.10139224,0,0.10139224
Improved MLP,0,0,0.39840442,1,0.10159558,0,0.10159558
Improved MLP,0,1,0.6018378,0,0.101837814,0,0.101837814
Improved MLP,0,0,0.39771214,1,0.10228786,0,0.10228786
Improved MLP,0,0,0.39733037,1,0.10266963,0,0.10266963
Improved MLP,1,0,0.39712927,0,0.10287073,0,0.10287073
Improved MLP,0,0,0.39701462,1,0.10298538,0,0.10298538
Improved MLP,0,1,0.6030474,0,0.10304737,0,0.10304737
Improved MLP,1,0,0.396937,0,0.10306299,0,0.10306299
Improved MLP,0,0,0.396709,1,0.103291005,0,0.103291005
Improved MLP,0,0,0.39662635,1,0.10337365,0,0.10337365
Improved MLP,0,0,0.39626127,1,0.103738725,0,0.103738725
Improved MLP,0,0,0.3962404,1,0.10375959,0,0.10375959
Improved MLP,0,1,0.6038159,0,0.10381591,0,0.10381591
Improved MLP,0,1,0.6042977,0,0.1042977,0,0.1042977
Improved MLP,0,1,0.60436916,0,0.10436916,0,0.10436916
Improved MLP,0,0,0.39556772,1,0.104432285,0,0.104432285
Improved MLP,0,0,0.39519268,1,0.10480732,0,0.10480732
Improved MLP,0,0,0.3950696,1,0.1049304,0,0.1049304
Improved MLP,0,1,0.6052347,0,0.10523468,0,0.10523468
Improved MLP,0,1,0.605382,0,0.105382025,0,0.105382025
Improved MLP,0,0,0.39450192,1,0.105498075,0,0.105498075
Improved MLP,0,1,0.606075,0,0.10607499,0,0.10607499
Improved MLP,0,1,0.6062071,0,0.10620707,0,0.10620707
