age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,previous,poutcome,was_previously_contacted,pdays_clean,y_true,y_pred,prob_yes,correct
50,management,married,tertiary,no,8205,yes,no,telephone,25,oct,293,3,1,other,1,508,0,1,0.89639574,0
34,management,single,tertiary,no,382,no,no,cellular,3,nov,193,1,0,unknown,0,0,0,1,0.8961193,0
25,unemployed,single,secondary,no,771,no,no,cellular,5,mar,86,1,0,unknown,0,0,0,1,0.8958518,0
32,blue-collar,single,secondary,no,681,no,yes,cellular,13,may,589,1,0,unknown,0,0,0,1,0.8954547,0
31,blue-collar,married,secondary,no,1664,yes,no,cellular,7,may,603,2,2,failure,1,17,0,1,0.8951065,0
41,unemployed,single,secondary,no,169,yes,no,cellular,11,may,712,1,0,unknown,0,0,0,1,0.8942631,0
48,admin.,married,secondary,no,2533,no,no,cellular,29,apr,714,2,1,failure,1,633,0,1,0.89421785,0
33,management,single,tertiary,no,1011,yes,no,unknown,12,may,1495,4,0,unknown,0,0,0,1,0.8938599,0
54,blue-collar,divorced,primary,no,2656,yes,no,cellular,15,apr,1187,2,2,success,1,320,0,1,0.89382243,0
38,unemployed,married,secondary,no,1604,no,no,unknown,20,jun,1276,1,0,unknown,0,0,0,1,0.8931411,0
29,management,single,tertiary,no,1351,no,no,cellular,11,mar,228,1,1,failure,1,91,0,1,0.89296204,0
34,management,married,tertiary,no,1778,no,no,cellular,5,feb,99,1,3,success,1,93,0,1,0.8923867,0
29,management,married,tertiary,no,198,yes,no,cellular,4,aug,453,1,1,failure,1,1,0,1,0.89190793,0
35,blue-collar,married,secondary,no,262,no,no,cellular,2,jul,96,2,4,success,1,109,0,1,0.8919005,0
55,services,married,tertiary,no,2877,no,no,cellular,9,aug,305,1,2,other,1,91,0,1,0.8917332,0
36,management,married,tertiary,no,82,no,no,cellular,2,feb,124,1,4,success,1,178,0,1,0.8914,0
51,admin.,married,tertiary,no,0,yes,yes,cellular,15,jun,177,4,2,success,1,99,0,1,0.8908817,0
41,admin.,married,secondary,no,1021,no,no,cellular,2,jun,224,1,0,unknown,0,0,0,1,0.8907925,0
76,retired,married,tertiary,no,2991,no,no,cellular,25,jan,195,1,2,success,1,95,0,1,0.8903653,0
61,retired,married,secondary,no,5196,no,no,telephone,16,mar,244,2,4,other,1,95,0,1,0.89010125,0
40,management,single,tertiary,no,171,no,no,cellular,19,aug,1241,3,0,unknown,0,0,0,1,0.8895856,0
37,unemployed,single,secondary,no,490,yes,yes,cellular,7,may,739,2,3,failure,1,325,0,1,0.88957393,0
34,technician,married,secondary,no,657,no,no,cellular,5,jun,263,2,0,unknown,0,0,0,1,0.8895639,0
33,technician,married,tertiary,no,8023,no,no,cellular,25,feb,196,1,4,failure,1,87,0,1,0.889457,0
38,services,single,tertiary,no,5265,no,no,cellular,4,jun,352,1,0,unknown,0,0,0,1,0.8886097,0
30,admin.,single,tertiary,no,41,yes,no,cellular,15,feb,68,4,2,success,1,186,0,1,0.88815,0
35,management,single,tertiary,no,-202,yes,no,unknown,9,may,1461,2,0,unknown,0,0,0,1,0.88794404,0
37,blue-collar,married,secondary,no,-158,yes,yes,cellular,7,may,892,2,0,unknown,0,0,0,1,0.8877857,0
27,student,single,secondary,no,1164,no,no,cellular,21,oct,256,2,2,failure,1,104,0,1,0.88774675,0
47,technician,married,secondary,no,332,yes,no,cellular,2,feb,276,1,1,success,1,269,0,1,0.8871614,0
41,management,single,secondary,no,800,no,no,cellular,8,aug,899,2,0,unknown,0,0,0,1,0.8867641,0
73,retired,divorced,secondary,no,7111,yes,no,cellular,12,apr,284,1,1,success,1,182,0,1,0.8865801,0
32,management,married,tertiary,no,1660,yes,no,cellular,11,jul,1389,2,0,unknown,0,0,0,1,0.8863435,0
30,management,single,tertiary,no,1675,no,no,cellular,4,sep,181,1,0,unknown,0,0,0,1,0.886343,0
32,management,single,tertiary,no,1434,no,no,cellular,11,aug,1144,3,0,unknown,0,0,0,1,0.8859115,0
40,technician,married,secondary,no,265,no,no,unknown,18,jun,1365,4,0,unknown,0,0,0,1,0.8851884,0
34,management,divorced,tertiary,no,0,yes,no,cellular,19,nov,1283,1,0,unknown,0,0,0,1,0.8848867,0
32,services,married,secondary,no,2833,yes,no,cellular,30,mar,415,1,0,unknown,0,0,0,1,0.8847833,0
60,admin.,married,secondary,no,12980,no,no,cellular,3,sep,177,2,1,success,1,182,0,1,0.8844067,0
32,management,single,tertiary,no,2846,yes,no,cellular,30,oct,160,1,0,unknown,0,0,0,1,0.88436496,0
31,management,single,tertiary,no,3967,yes,no,cellular,21,nov,859,1,1,failure,1,182,0,1,0.88396984,0
30,admin.,single,secondary,no,40,no,no,cellular,22,apr,382,2,0,unknown,0,0,0,1,0.88389134,0
46,admin.,married,unknown,no,2033,no,no,cellular,24,feb,99,2,5,failure,1,86,0,1,0.88281804,0
40,technician,married,secondary,no,4298,no,no,cellular,2,jun,221,1,0,unknown,0,0,0,1,0.8827582,0
40,management,married,tertiary,no,2840,yes,no,cellular,8,jul,1720,4,0,unknown,0,0,0,1,0.88150656,0
25,admin.,single,tertiary,no,1141,yes,no,cellular,5,may,718,1,1,failure,1,347,0,1,0.8806041,0
52,technician,married,secondary,no,0,yes,no,cellular,10,mar,164,1,0,unknown,0,0,0,1,0.88057715,0
37,unemployed,married,secondary,no,86,no,no,cellular,29,jan,1424,1,0,unknown,0,0,0,1,0.8798649,0
38,management,single,tertiary,no,4841,no,no,cellular,22,may,580,3,0,unknown,0,0,0,1,0.879794,0
50,services,married,secondary,no,1126,no,no,cellular,4,aug,679,1,0,unknown,0,0,0,1,0.87951833,0
29,management,single,tertiary,no,4694,no,no,cellular,15,jun,181,1,0,unknown,0,0,0,1,0.8793665,0
46,technician,married,secondary,no,6993,yes,no,cellular,17,apr,326,3,1,success,1,148,0,1,0.8793116,0
30,blue-collar,single,secondary,no,103,yes,no,cellular,17,apr,2053,2,1,other,1,317,0,1,0.879151,0
45,admin.,divorced,secondary,no,1293,yes,yes,telephone,20,oct,164,1,0,unknown,0,0,0,1,0.87905264,0
31,management,single,tertiary,no,9874,yes,no,unknown,23,may,1222,5,0,unknown,0,0,0,1,0.8789758,0
20,student,single,unknown,no,457,no,no,cellular,16,jun,214,1,0,unknown,0,0,0,1,0.8785879,0
39,management,married,tertiary,no,562,no,no,cellular,13,sep,303,2,0,unknown,0,0,0,1,0.8782946,0
36,management,married,tertiary,no,361,no,no,cellular,5,jun,200,2,0,unknown,0,0,0,1,0.87824696,0
48,management,married,primary,no,312,no,no,cellular,29,jul,1186,4,0,unknown,0,0,0,1,0.87753737,0
48,services,single,secondary,no,220,no,no,unknown,5,jun,1005,2,0,unknown,0,0,0,1,0.87725514,0
42,management,married,tertiary,no,520,no,no,cellular,4,nov,158,1,0,unknown,0,0,0,1,0.8772379,0
27,technician,single,tertiary,no,808,yes,no,cellular,15,may,578,1,1,other,1,364,0,1,0.8770415,0
31,management,married,tertiary,no,713,yes,no,unknown,9,may,1534,2,0,unknown,0,0,0,1,0.87700367,0
33,technician,single,secondary,no,1733,yes,no,cellular,14,may,895,3,0,unknown,0,0,0,1,0.87609595,0
30,management,married,tertiary,no,942,no,no,cellular,2,jun,146,2,0,unknown,0,0,0,1,0.8760926,0
49,technician,married,secondary,no,305,no,no,cellular,30,apr,401,1,0,unknown,0,0,0,1,0.87590533,0
31,self-employed,married,primary,no,1074,yes,no,unknown,23,may,1438,2,0,unknown,0,0,0,1,0.87469536,0
33,technician,married,secondary,no,668,yes,yes,cellular,13,may,771,2,4,other,1,173,0,1,0.8746905,0
45,services,divorced,secondary,no,1381,no,no,unknown,19,jun,653,2,0,unknown,0,0,0,1,0.8744295,0
75,admin.,married,unknown,no,1093,no,no,cellular,22,apr,369,1,0,unknown,0,0,0,1,0.8740575,0
51,technician,married,secondary,no,-491,yes,yes,cellular,13,may,805,2,0,unknown,0,0,0,1,0.8740004,0
30,management,single,tertiary,no,638,yes,no,cellular,20,apr,483,2,6,other,1,291,0,1,0.8736395,0
32,services,single,secondary,no,358,yes,no,unknown,16,may,1144,3,0,unknown,0,0,0,1,0.8727112,0
31,blue-collar,single,secondary,no,1882,no,no,cellular,7,may,529,2,0,unknown,0,0,0,1,0.8725535,0
28,blue-collar,single,secondary,no,402,yes,no,cellular,18,may,632,1,0,unknown,0,0,0,1,0.8725149,0
26,management,single,tertiary,no,7628,no,no,cellular,1,apr,263,1,0,unknown,0,0,0,1,0.87233585,0
45,management,married,tertiary,no,273,yes,no,cellular,27,feb,94,2,0,unknown,0,0,0,1,0.87211,0
36,unemployed,married,secondary,no,17458,no,no,cellular,23,sep,390,2,0,unknown,0,0,0,1,0.8719592,0
37,technician,single,tertiary,no,6889,yes,no,cellular,21,nov,1221,1,0,unknown,0,0,0,1,0.8716583,0
25,blue-collar,single,secondary,no,286,yes,no,cellular,18,may,663,2,0,unknown,0,0,0,1,0.8714106,0
30,management,married,tertiary,no,8623,no,no,cellular,8,apr,163,3,0,unknown,0,0,0,1,0.87060094,0
43,self-employed,married,secondary,no,0,no,no,cellular,25,sep,399,2,0,unknown,0,0,0,1,0.8704172,0
31,technician,married,tertiary,no,3564,no,no,cellular,18,nov,1377,1,0,unknown,0,0,0,1,0.8698912,0
37,blue-collar,married,secondary,no,417,no,no,cellular,31,jul,1212,5,0,unknown,0,0,0,1,0.8697456,0
47,technician,married,tertiary,no,-744,yes,yes,cellular,20,nov,1256,1,0,unknown,0,0,0,1,0.86946017,0
30,admin.,married,secondary,no,1310,no,no,telephone,27,oct,3284,1,0,unknown,0,0,0,1,0.8693925,0
35,management,married,tertiary,no,3402,no,no,cellular,14,dec,269,1,2,failure,1,194,0,1,0.8690779,0
35,management,divorced,tertiary,no,3751,yes,no,cellular,18,aug,210,2,2,failure,1,124,0,1,0.8687894,0
39,management,married,tertiary,no,4539,no,no,cellular,30,apr,301,1,0,unknown,0,0,0,1,0.86831284,0
32,management,single,tertiary,no,3289,no,no,cellular,8,oct,375,2,2,failure,1,179,0,1,0.8679977,0
32,management,married,tertiary,no,927,no,no,cellular,8,oct,282,1,0,unknown,0,0,0,1,0.8675562,0
41,blue-collar,divorced,secondary,no,388,no,no,cellular,14,aug,605,2,0,unknown,0,0,0,1,0.8674446,0
55,retired,married,tertiary,no,357,yes,no,cellular,30,apr,878,1,0,unknown,0,0,0,1,0.8672756,0
39,management,divorced,tertiary,no,5009,yes,no,cellular,15,jul,1083,2,0,unknown,0,0,0,1,0.86704075,0
26,admin.,single,secondary,no,317,yes,no,unknown,3,jun,953,1,0,unknown,0,0,0,1,0.8664084,0
28,management,single,tertiary,no,2253,yes,no,unknown,18,jun,906,2,0,unknown,0,0,0,1,0.8662631,0
39,blue-collar,single,unknown,no,2841,yes,no,unknown,5,jun,1121,3,0,unknown,0,0,0,1,0.8659789,0
46,unknown,married,tertiary,no,8564,no,no,cellular,2,aug,397,2,1,failure,1,342,0,1,0.8657411,0
57,retired,married,secondary,no,415,no,no,cellular,6,oct,408,1,2,failure,1,410,0,1,0.8652401,0
45,blue-collar,married,primary,no,292,yes,no,cellular,29,aug,961,4,0,unknown,0,0,0,1,0.86505437,0
49,blue-collar,married,secondary,no,2159,no,no,cellular,17,apr,771,1,0,unknown,0,0,0,1,0.8645496,0
22,admin.,single,secondary,no,222,no,no,cellular,3,jun,156,3,0,unknown,0,0,0,1,0.8638651,0
40,technician,married,secondary,no,826,no,no,unknown,24,feb,174,1,2,other,1,267,0,1,0.86380666,0
30,blue-collar,single,primary,no,1395,yes,no,cellular,21,nov,569,1,3,other,1,175,0,1,0.86360395,0
45,admin.,divorced,secondary,no,1201,no,no,cellular,30,jul,652,2,0,unknown,0,0,0,1,0.8633087,0
30,management,single,tertiary,no,552,yes,no,cellular,5,aug,648,2,0,unknown,0,0,0,1,0.8631404,0
51,services,married,secondary,no,434,no,no,cellular,5,aug,513,2,0,unknown,0,0,0,1,0.86265314,0
58,retired,divorced,secondary,no,-370,no,no,cellular,17,nov,1449,1,0,unknown,0,0,0,1,0.86234707,0
40,management,married,tertiary,no,-4,yes,no,unknown,5,may,2033,1,0,unknown,0,0,0,1,0.86218363,0
38,blue-collar,married,secondary,no,384,yes,no,unknown,6,may,1906,3,0,unknown,0,0,0,1,0.8621154,0
47,entrepreneur,married,primary,no,668,no,no,cellular,12,may,908,1,0,unknown,0,0,0,1,0.86206025,0
53,admin.,divorced,secondary,no,28,yes,yes,cellular,12,may,673,4,0,unknown,0,0,0,1,0.861479,0
37,blue-collar,married,secondary,no,208,no,no,cellular,13,may,466,1,0,unknown,0,0,0,1,0.86128217,0
37,management,married,tertiary,no,539,no,no,cellular,18,jan,540,2,3,failure,1,115,0,1,0.8608891,0
36,technician,single,secondary,no,54,no,no,cellular,22,may,563,1,0,unknown,0,0,0,1,0.86088216,0
31,technician,married,tertiary,no,3338,yes,no,cellular,24,jun,122,2,2,success,1,185,0,1,0.8606945,0
24,management,single,tertiary,no,0,no,no,cellular,6,oct,526,1,0,unknown,0,0,0,1,0.8604831,0
33,management,married,tertiary,no,335,no,no,cellular,12,may,527,2,0,unknown,0,0,0,1,0.8603847,0
32,management,married,tertiary,no,628,no,no,cellular,30,apr,280,1,0,unknown,0,0,0,1,0.86034435,0
27,blue-collar,married,secondary,no,872,yes,no,cellular,17,apr,1130,3,0,unknown,0,0,0,1,0.8603088,0
61,technician,married,tertiary,no,0,no,no,cellular,3,apr,224,1,0,unknown,0,0,0,1,0.86020607,0
43,management,married,tertiary,no,2987,no,no,cellular,11,mar,103,3,0,unknown,0,0,0,1,0.8594199,0
32,unemployed,single,tertiary,no,1974,no,no,cellular,4,feb,775,1,0,unknown,0,0,0,1,0.85859805,0
34,blue-collar,married,secondary,no,0,yes,no,unknown,30,jun,780,3,0,unknown,0,0,0,1,0.85854405,0
48,management,divorced,tertiary,no,0,no,no,cellular,15,oct,126,2,0,unknown,0,0,0,1,0.85800976,0
35,self-employed,single,secondary,no,1732,no,no,telephone,21,nov,1441,3,0,unknown,0,0,0,1,0.8579287,0
51,technician,married,secondary,no,39,no,no,cellular,2,nov,173,1,0,unknown,0,0,0,1,0.8577894,0
38,self-employed,divorced,tertiary,no,6447,no,no,cellular,12,jan,296,1,0,unknown,0,0,0,1,0.8576687,0
36,entrepreneur,married,primary,no,600,no,no,cellular,21,jul,538,1,0,unknown,0,0,0,1,0.85741425,0
25,blue-collar,married,secondary,no,-23,yes,no,cellular,25,jul,936,1,0,unknown,0,0,0,1,0.85724515,0
34,technician,single,secondary,no,1313,no,no,cellular,19,apr,237,4,0,unknown,0,0,0,1,0.857175,0
32,management,single,tertiary,no,1962,no,no,cellular,13,jan,130,1,0,unknown,0,0,0,1,0.8570851,0
34,admin.,married,tertiary,no,21,no,yes,cellular,2,jun,269,1,2,failure,1,92,0,1,0.85694814,0
82,retired,married,primary,no,103,no,no,cellular,1,sep,368,1,0,unknown,0,0,0,1,0.85651314,0
82,housemaid,divorced,primary,no,1381,no,no,cellular,27,oct,156,1,0,unknown,0,0,0,1,0.8562931,0
33,management,single,secondary,no,0,yes,no,unknown,26,may,816,2,0,unknown,0,0,0,1,0.8558336,0
40,technician,single,secondary,no,398,yes,no,cellular,15,may,642,1,0,unknown,0,0,0,1,0.85577035,0
35,technician,single,tertiary,no,458,yes,no,unknown,21,may,1091,3,0,unknown,0,0,0,1,0.855753,0
69,retired,married,secondary,no,745,no,no,telephone,9,sep,595,1,0,unknown,0,0,0,1,0.8555373,0
42,management,single,tertiary,no,3371,yes,yes,cellular,13,aug,284,1,2,failure,1,92,0,1,0.855403,0
49,entrepreneur,single,secondary,no,5802,no,no,cellular,12,aug,175,3,2,success,1,104,0,1,0.855067,0
64,retired,married,tertiary,no,2139,no,no,cellular,13,jan,230,1,2,failure,1,91,0,1,0.8547164,0
39,management,married,tertiary,no,1572,no,no,cellular,7,aug,1462,4,0,unknown,0,0,0,1,0.8544586,0
53,blue-collar,married,primary,no,354,no,no,cellular,20,apr,416,2,0,unknown,0,0,0,1,0.85422,0
53,management,married,tertiary,no,1356,yes,no,cellular,9,nov,371,2,4,failure,1,96,0,1,0.8537278,0
30,student,single,secondary,no,5836,no,no,cellular,27,apr,165,2,0,unknown,0,0,0,1,0.8534391,0
24,technician,single,secondary,no,139,no,no,cellular,14,apr,259,1,0,unknown,0,0,0,1,0.85269856,0
38,admin.,married,tertiary,no,342,yes,no,unknown,4,jun,1138,1,0,unknown,0,0,0,1,0.85242414,0
86,retired,married,primary,no,1817,no,no,cellular,16,mar,272,3,0,unknown,0,0,0,1,0.8517976,0
41,technician,single,secondary,no,30,no,no,unknown,23,may,1003,1,0,unknown,0,0,0,1,0.8517692,0
39,services,single,secondary,no,600,no,no,cellular,7,apr,277,1,0,unknown,0,0,0,1,0.85173696,0
35,management,married,tertiary,no,71,yes,no,cellular,30,apr,510,2,0,unknown,0,0,0,1,0.85155535,0
45,services,single,secondary,no,1757,yes,no,cellular,20,apr,1010,3,1,other,1,326,0,1,0.8514545,0
37,blue-collar,married,secondary,no,685,yes,no,unknown,6,jun,968,1,0,unknown,0,0,0,1,0.8513604,0
32,technician,married,secondary,no,94,yes,no,cellular,17,apr,1013,2,0,unknown,0,0,0,1,0.8513275,0
25,admin.,single,tertiary,no,1185,no,no,cellular,15,jun,135,1,0,unknown,0,0,0,1,0.8509969,0
34,admin.,married,tertiary,no,798,yes,no,cellular,8,mar,284,2,0,unknown,0,0,0,1,0.8509795,0
47,technician,divorced,tertiary,no,477,yes,no,telephone,7,may,973,1,1,failure,1,366,0,1,0.8506924,0
39,services,married,secondary,no,323,no,no,cellular,3,dec,1804,3,3,other,1,182,0,1,0.8505594,0
50,technician,married,tertiary,no,0,no,yes,cellular,6,jul,257,1,7,failure,1,85,0,1,0.8503552,0
50,blue-collar,married,secondary,no,-581,yes,no,cellular,14,may,877,2,5,failure,1,345,0,1,0.85018766,0
42,blue-collar,married,secondary,no,-355,yes,yes,unknown,5,jun,939,6,0,unknown,0,0,0,1,0.8501169,0
41,blue-collar,single,secondary,no,184,yes,no,unknown,9,may,1054,2,0,unknown,0,0,0,1,0.849888,0
57,blue-collar,divorced,secondary,no,1795,yes,no,unknown,19,jun,818,1,0,unknown,0,0,0,1,0.84960705,0
47,technician,married,secondary,no,912,no,no,cellular,21,nov,1036,2,0,unknown,0,0,0,1,0.8494472,0
51,self-employed,married,tertiary,no,2007,no,no,unknown,16,jun,1021,1,0,unknown,0,0,0,1,0.84938407,0
35,management,married,tertiary,no,1041,no,no,cellular,18,nov,586,1,3,other,1,120,0,1,0.8492469,0
25,student,single,tertiary,no,293,no,no,cellular,12,apr,231,1,0,unknown,0,0,0,1,0.8487402,0
53,technician,married,secondary,no,4807,no,no,telephone,19,feb,255,3,0,unknown,0,0,0,1,0.8485224,0
57,retired,divorced,secondary,no,316,no,no,cellular,28,jan,935,2,0,unknown,0,0,0,1,0.8485073,0
40,management,married,tertiary,no,6008,yes,no,cellular,18,nov,989,1,0,unknown,0,0,0,1,0.84846973,0
33,blue-collar,married,secondary,no,1130,yes,no,cellular,7,apr,1063,1,0,unknown,0,0,0,1,0.84846526,0
42,technician,married,secondary,no,8036,no,no,unknown,9,jun,948,5,0,unknown,0,0,0,1,0.84843415,0
32,technician,single,secondary,no,554,no,no,cellular,7,aug,520,3,0,unknown,0,0,0,1,0.84833974,0
42,admin.,married,secondary,no,0,yes,no,cellular,8,jul,1011,1,0,unknown,0,0,0,1,0.8480807,0
32,student,single,unknown,no,2321,no,no,cellular,30,mar,167,2,0,unknown,0,0,0,1,0.8479041,0
30,student,single,secondary,no,0,no,no,cellular,20,apr,111,1,0,unknown,0,0,0,1,0.84773225,0
32,blue-collar,divorced,secondary,no,0,yes,no,unknown,2,jun,746,2,0,unknown,0,0,0,1,0.8475131,0
29,management,married,secondary,no,160,no,no,cellular,9,feb,844,2,0,unknown,0,0,0,1,0.8474839,0
27,student,single,tertiary,no,1390,no,no,cellular,30,apr,152,1,0,unknown,0,0,0,1,0.8473216,0
29,technician,married,tertiary,no,858,yes,no,cellular,12,jun,234,7,1,failure,1,330,0,1,0.84712744,0
33,management,married,tertiary,no,1412,no,no,cellular,6,feb,433,2,0,unknown,0,0,0,1,0.84699863,0
58,management,married,tertiary,no,9683,no,no,cellular,4,aug,857,2,0,unknown,0,0,0,1,0.84698087,0
46,services,married,secondary,no,379,no,no,unknown,11,jun,886,2,0,unknown,0,0,0,1,0.8469294,0
